phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
160,Moto G (2023),https://www.gsmarena.com/motorola_moto_g_(2023)-12249.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
161,Moto G (2024),https://www.gsmarena.com/motorola_moto_g_(2024)-12866.php,20:9,105.17,720x1612,"6.6""",,,,,,,200,
162,Moto G (2025),https://www.gsmarena.com/motorola_moto_g_(2025)-13624.php,20:9,108.38,720x1604,"6.7""",,,,,,,200,
163,Moto G 5G,https://www.gsmarena.com/motorola_moto_g_5g-10577.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
164,Moto G (2026),https://www.gsmarena.com/motorola_moto_g_5g_(2026)-14138.php,20:9,108.38,720x1604,"6.7""",,,,,,,200,
165,Moto G 5G Plus,https://www.gsmarena.com/motorola_moto_g_5g_plus-10307.php,21:9,104.86,1080x2520,"6.7""",,,,,,,200,
166,Moto G Dual SIM (3rd gen),https://www.gsmarena.com/motorola_moto_g_dual_sim_(3rd_gen)-7469.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
167,Moto G Fast,https://www.gsmarena.com/motorola_moto_g_fast-10286.php,19.5:9,100.55,720x1560,"6.4""",,,,,,,200,
168,Moto G Play (2021),https://www.gsmarena.com/motorola_moto_g_play_(2021)-10673.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
169,Moto G Play (2023),https://www.gsmarena.com/motorola_moto_g_play_(2023)-11957.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
170,Moto G Play (2024),https://www.gsmarena.com/motorola_moto_g_play_(2024)-12798.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
171,Moto G Play (2026),https://www.gsmarena.com/motorola_moto_g_play_5g_(2026)-14139.php,20:9,108.38,720x1604,"6.7""",,,,,,,200,
172,Moto G Power,https://www.gsmarena.com/motorola_moto_g_power-10076.php,,,1080x2300,"6.4""",,,,,,,200,
173,Moto G Power (2021),https://www.gsmarena.com/motorola_moto_g_power_(2021)-10672.php,20:9,105.17,720x1600,"6.6""",,,,,,,200,
174,Moto G Power (2022),https://www.gsmarena.com/motorola_moto_g_power_(2022)-11211.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
175,Moto G Power (2024),https://www.gsmarena.com/motorola_moto_g_power_(2024)-12867.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
176,Moto G Power (2025),https://www.gsmarena.com/motorola_moto_g_power_(2025)-13623.php,1358:1,0.22,1080x2388,"6.8""",,,,,,,200,
177,Moto G Power 5G,https://www.gsmarena.com/motorola_moto_g_power_5g-12219.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
178,Moto G Pro,https://www.gsmarena.com/motorola_moto_g_pro-10269.php,1422:1,0.19,1080x2300,"6.4""",,,,,,,200,
179,Moto G Stylus,https://www.gsmarena.com/motorola_moto_g_stylus-10057.php,,,1080x2300,"6.4""",,,,,,,200,
180,Moto G Stylus (2021),https://www.gsmarena.com/motorola_moto_g_stylus_(2021)-10583.php,20:9,111.64,1080x2400,"6.8""",,,,,,,200,
181,Moto G Stylus (2022),https://www.gsmarena.com/motorola_moto_g_stylus_(2022)-11282.php,,,1080x2460,"6.8""",,,,,,,200,
182,Moto G Stylus (2023),https://www.gsmarena.com/motorola_moto_g_stylus_(2023)-12250.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
183,Moto G Stylus 5G,https://www.gsmarena.com/motorola_moto_g_stylus_5g-10947.php,20:9,111.64,1080x2400,"6.8""",,,,,,,200,
184,Moto G Stylus 5G (2022),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2022)-11462.php,,,1080x2460,"6.8""",,,,,,,200,
185,Moto G Stylus 5G (2023),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2023)-12301.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
186,Moto G Stylus 5G (2024),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2024)-12787.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
187,Moto G Stylus 5G (2025),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2025)-13784.php,20:9,108.38,1220x2712,"6.7""",,,,,,,200,
188,Moto G Turbo,https://www.gsmarena.com/motorola_moto_g_turbo-7743.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
189,Moto M,https://www.gsmarena.com/motorola_moto_m-8299.php,16:9,83.39,1080x1920,"5.5""",,,,,,,200,
190,Moto S30 Pro,https://www.gsmarena.com/motorola_moto_s30_pro-11750.php,20:9,103.58,1080x2400,"6.55""",,,,,,,200,
191,Moto S50,https://www.gsmarena.com/motorola_moto_s50-13293.php,19:9,100.96,1272x2670,"6.36""",,,,,,,200,
192,Moto X30 Pro,https://www.gsmarena.com/motorola_moto_x30_pro-11366.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
193,Moto X4,https://www.gsmarena.com/motorola_moto_x4-8634.php,16:9,74.54,1080x1920,"5.2""",,,,,,,200,
194,Moto X40,https://www.gsmarena.com/motorola_moto_x40-11961.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
195,Moto X5,https://www.gsmarena.com/motorola_moto_x5-8999.php,18:9,89.83,1080x2160,"5.9""",,,,,,,200,
