phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
64,13 4G,https://www.gsmarena.com/realme_13_4g-13252.php,163 x 75.5 x 7.9 mm (6.42 x 2.97 x 0.31 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
65,13 Pro+,https://www.gsmarena.com/realme_13_pro+-13196.php,161.3 x 73.9 x 8.2 or 8.4 mm,185.5 g or 190 g (6.56 oz),"Glass front (Gorilla Glass 7i), plastic frame, glass back",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)","6.7 inches, 108.0 cm2 (~90.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 7i,200,
66,13 Pro,https://www.gsmarena.com/realme_13_pro-13240.php,161.3 x 73.9 x 8.2 or 8.4 mm,183.5 g or 188 g (6.49 oz),,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)","6.7 inches, 108.0 cm2 (~90.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 7i,200,
67,Narzo N61,https://www.gsmarena.com/realme_narzo_n61-13232.php,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),187 g (6.60 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)","6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Reinforced glass,200,
68,C61,https://www.gsmarena.com/realme_c61-13236.php,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),188 g (6.63 oz),"Glass front, plastic frame, plastic back",Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)","6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,200,
69,GT6 (China),https://www.gsmarena.com/realme_gt6_(china)-13104.php,162 x 76.1 x 8.4 mm (6.38 x 3.00 x 0.33 in),207 g (7.30 oz),"Glass front, aluminum frame",Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~90.6% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Crystal Armor glass,200,
70,C61 (India),https://www.gsmarena.com/realme_c61_(india)-13162.php,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits (typ), 560 nits (HBM)","6.78 inches, 102.1 cm2 (~79.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,200,
71,12 4G,https://www.gsmarena.com/realme_12_4g-13172.php,163 x 75.5 x 7.9 mm (6.42 x 2.97 x 0.31 in),187 g (6.60 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 600 nits (typ), 2000 nits (peak)","6.67 inches, 107.4 cm2 (~87.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
72,V60,https://www.gsmarena.com/realme_v60-13165.php,165.6 x 76.1 x 7.9 mm (6.52 x 3.00 x 0.31 in),192 g (6.77 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits (typ), 625 nits (HBM)","6.67 inches, 107.2 cm2 (~85.1% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
73,GT 6,https://www.gsmarena.com/realme_gt_6-13103.php,162 x 75.1 x 8.6 mm (6.38 x 2.96 x 0.34 in),199 g (7.02 oz),"Glass front (Gorilla Glass Victus 2), plastic frame, glass back",Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR 10+, Dolby Vision, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Corning Gorilla Glass Victus 2,200,
