id,model,url,status
129,Moto G60S,https://www.gsmarena.com/motorola_moto_g60s-11047.php,pending
130,Moto G62 (India),https://www.gsmarena.com/motorola_moto_g62_(india)-11754.php,pending
131,Moto G62 5G,https://www.gsmarena.com/motorola_moto_g62_5g-11602.php,pending
132,Moto G64,https://www.gsmarena.com/motorola_moto_g64-12925.php,pending
133,Moto G67 Power,https://www.gsmarena.com/motorola_moto_g67_power_5g-14266.php,pending
134,Moto G6 Play,https://www.gsmarena.com/motorola_moto_g6_play-9002.php,pending
135,Moto G6 Plus,https://www.gsmarena.com/motorola_moto_g6_plus-9001.php,pending
136,Moto G7,https://www.gsmarena.com/motorola_moto_g7-9357.php,pending
137,Moto G71 5G,https://www.gsmarena.com/motorola_moto_g71_5g-11223.php,pending
138,Moto G71s,https://www.gsmarena.com/motorola_moto_g71s-11531.php,pending
139,Moto G72,https://www.gsmarena.com/motorola_moto_g72-11910.php,pending
140,Moto G73,https://www.gsmarena.com/motorola_moto_g73-12079.php,pending
141,Moto G75,https://www.gsmarena.com/motorola_moto_g75-13372.php,pending
142,Moto G7 Play,https://www.gsmarena.com/motorola_moto_g7_play-9532.php,pending
143,Moto G7 Plus,https://www.gsmarena.com/motorola_moto_g7_plus-9533.php,pending
144,Moto G7 Power,https://www.gsmarena.com/motorola_moto_g7_power-9527.php,pending
145,Moto G8,https://www.gsmarena.com/motorola_moto_g8-10051.php,pending
146,Moto G82,https://www.gsmarena.com/motorola_moto_g82-11508.php,pending
147,Moto G84,https://www.gsmarena.com/motorola_moto_g84-12526.php,pending
148,Moto G85,https://www.gsmarena.com/motorola_moto_g85-13144.php,pending
149,Moto G86,https://www.gsmarena.com/motorola_moto_g86_5g-13917.php,pending
150,Moto G86 Power,https://www.gsmarena.com/motorola_moto_g86_power_5g-13918.php,pending
151,Moto G8 Play,https://www.gsmarena.com/motorola_moto_g8_play-9918.php,pending
152,Moto G8 Plus,https://www.gsmarena.com/motorola_moto_g8_plus-9916.php,pending
153,Moto G8 Power,https://www.gsmarena.com/motorola_moto_g8_power-10052.php,pending
154,Moto G8 Power Lite,https://www.gsmarena.com/motorola_moto_g8_power_lite-10154.php,pending
155,Moto G9 (India),https://www.gsmarena.com/motorola_moto_g9_(india)-10384.php,pending
156,Moto G9 Play,https://www.gsmarena.com/motorola_moto_g9_play-10387.php,pending
157,Moto G9 Plus,https://www.gsmarena.com/motorola_moto_g9_plus-10432.php,pending
158,Moto G9 Power,https://www.gsmarena.com/motorola_moto_g9_power-10574.php,pending
159,Moto G (2022),https://www.gsmarena.com/motorola_moto_g_(2022)-11491.php,pending
160,Moto G (2023),https://www.gsmarena.com/motorola_moto_g_(2023)-12249.php,pending
161,Moto G (2024),https://www.gsmarena.com/motorola_moto_g_(2024)-12866.php,pending
162,Moto G (2025),https://www.gsmarena.com/motorola_moto_g_(2025)-13624.php,pending
163,Moto G 5G,https://www.gsmarena.com/motorola_moto_g_5g-10577.php,pending
164,Moto G (2026),https://www.gsmarena.com/motorola_moto_g_5g_(2026)-14138.php,pending
165,Moto G 5G Plus,https://www.gsmarena.com/motorola_moto_g_5g_plus-10307.php,pending
166,Moto G Dual SIM (3rd gen),https://www.gsmarena.com/motorola_moto_g_dual_sim_(3rd_gen)-7469.php,pending
167,Moto G Fast,https://www.gsmarena.com/motorola_moto_g_fast-10286.php,pending
168,Moto G Play (2021),https://www.gsmarena.com/motorola_moto_g_play_(2021)-10673.php,pending
169,Moto G Play (2023),https://www.gsmarena.com/motorola_moto_g_play_(2023)-11957.php,pending
170,Moto G Play (2024),https://www.gsmarena.com/motorola_moto_g_play_(2024)-12798.php,pending
171,Moto G Play (2026),https://www.gsmarena.com/motorola_moto_g_play_5g_(2026)-14139.php,pending
172,Moto G Power,https://www.gsmarena.com/motorola_moto_g_power-10076.php,pending
173,Moto G Power (2021),https://www.gsmarena.com/motorola_moto_g_power_(2021)-10672.php,pending
174,Moto G Power (2022),https://www.gsmarena.com/motorola_moto_g_power_(2022)-11211.php,pending
175,Moto G Power (2024),https://www.gsmarena.com/motorola_moto_g_power_(2024)-12867.php,pending
176,Moto G Power (2025),https://www.gsmarena.com/motorola_moto_g_power_(2025)-13623.php,pending
177,Moto G Power 5G,https://www.gsmarena.com/motorola_moto_g_power_5g-12219.php,pending
178,Moto G Pro,https://www.gsmarena.com/motorola_moto_g_pro-10269.php,pending
179,Moto G Stylus,https://www.gsmarena.com/motorola_moto_g_stylus-10057.php,pending
180,Moto G Stylus (2021),https://www.gsmarena.com/motorola_moto_g_stylus_(2021)-10583.php,pending
181,Moto G Stylus (2022),https://www.gsmarena.com/motorola_moto_g_stylus_(2022)-11282.php,pending
182,Moto G Stylus (2023),https://www.gsmarena.com/motorola_moto_g_stylus_(2023)-12250.php,pending
183,Moto G Stylus 5G,https://www.gsmarena.com/motorola_moto_g_stylus_5g-10947.php,pending
184,Moto G Stylus 5G (2022),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2022)-11462.php,pending
185,Moto G Stylus 5G (2023),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2023)-12301.php,pending
186,Moto G Stylus 5G (2024),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2024)-12787.php,pending
187,Moto G Stylus 5G (2025),https://www.gsmarena.com/motorola_moto_g_stylus_5g_(2025)-13784.php,pending
188,Moto G Turbo,https://www.gsmarena.com/motorola_moto_g_turbo-7743.php,pending
189,Moto M,https://www.gsmarena.com/motorola_moto_m-8299.php,pending
190,Moto S30 Pro,https://www.gsmarena.com/motorola_moto_s30_pro-11750.php,pending
191,Moto S50,https://www.gsmarena.com/motorola_moto_s50-13293.php,pending
192,Moto X30 Pro,https://www.gsmarena.com/motorola_moto_x30_pro-11366.php,pending
193,Moto X4,https://www.gsmarena.com/motorola_moto_x4-8634.php,pending
194,Moto X40,https://www.gsmarena.com/motorola_moto_x40-11961.php,pending
195,Moto X5,https://www.gsmarena.com/motorola_moto_x5-8999.php,pending
196,Moto X50 Ultra,https://www.gsmarena.com/motorola_moto_x50_ultra-13008.php,pending
197,Moto X Force,https://www.gsmarena.com/motorola_moto_x_force-7555.php,pending
198,Moto X Play,https://www.gsmarena.com/motorola_moto_x_play-7454.php,pending
199,Moto X Play Dual SIM,https://www.gsmarena.com/motorola_moto_x_play_dual_sim-7470.php,pending
200,Moto X Style,https://www.gsmarena.com/motorola_moto_x_style-7229.php,pending
201,Moto Z,https://www.gsmarena.com/motorola_moto_z-8094.php,pending
202,Moto Z2 Force,https://www.gsmarena.com/motorola_moto_z2_force-8693.php,pending
203,Moto Z2 Play,https://www.gsmarena.com/motorola_moto_z2_play-8674.php,pending
204,Moto Z3,https://www.gsmarena.com/motorola_moto_z3-9283.php,pending
205,Moto Z3 Play,https://www.gsmarena.com/motorola_moto_z3_play-9003.php,pending
206,Moto Z4,https://www.gsmarena.com/motorola_moto_z4-9691.php,pending
207,Moto Z Force,https://www.gsmarena.com/motorola_moto_z_force-8093.php,pending
208,Moto Z Play,https://www.gsmarena.com/motorola_moto_z_play-8310.php,pending
209,One (P30 Play),https://www.gsmarena.com/motorola_one_(p30_play)-9310.php,pending
210,One 5G,https://www.gsmarena.com/motorola_one_5g-10407.php,pending
211,One 5G Ace,https://www.gsmarena.com/motorola_one_5g_ace-10671.php,pending
212,One 5G UW,https://www.gsmarena.com/motorola_one_5g_uw-10518.php,pending
213,one 5G UW ace,https://www.gsmarena.com/motorola_one_5g_uw_ace-11005.php,pending
214,One Action,https://www.gsmarena.com/motorola_one_action-9739.php,pending
215,One Fusion+,https://www.gsmarena.com/motorola_one_fusion+-10290.php,pending
216,One Fusion,https://www.gsmarena.com/motorola_one_fusion-10317.php,pending
217,One Hyper,https://www.gsmarena.com/motorola_one_hyper-9944.php,pending
218,One Macro,https://www.gsmarena.com/motorola_one_macro-9900.php,pending
219,One Power (P30 Note),https://www.gsmarena.com/motorola_one_power_(p30_note)-9221.php,pending
220,One Vision,https://www.gsmarena.com/motorola_one_vision-9647.php,pending
221,One Vision Plus,https://www.gsmarena.com/motorola_one_vision_plus-10374.php,pending
222,One Zoom,https://www.gsmarena.com/motorola_one_zoom-9745.php,pending
223,P30,https://www.gsmarena.com/motorola_p30-9294.php,pending
224,Razr+ 2024,https://www.gsmarena.com/motorola_razr+_2024-13213.php,pending
225,Razr+ 2025,https://www.gsmarena.com/motorola_razr+_2025-13825.php,pending
226,Razr 2019,https://www.gsmarena.com/motorola_razr_2019-9630.php,pending
227,Razr 2022,https://www.gsmarena.com/motorola_razr_2022-11752.php,pending
228,Razr 2024,https://www.gsmarena.com/motorola_razr_2024-13214.php,pending
229,Razr 2025,https://www.gsmarena.com/motorola_razr_2025-13824.php,pending
230,Razr 40,https://www.gsmarena.com/motorola_razr_40-12311.php,pending
231,Razr 40 Ultra,https://www.gsmarena.com/motorola_razr_40_ultra-12169.php,pending
232,Razr 50,https://www.gsmarena.com/motorola_razr_50-13151.php,pending
233,Razr 50 Ultra,https://www.gsmarena.com/motorola_razr_50_ultra-13150.php,pending
234,Razr 5G,https://www.gsmarena.com/motorola_razr_5g-10410.php,pending
235,Razr 60,https://www.gsmarena.com/motorola_razr_60-13749.php,pending
236,Razr 60 Ultra,https://www.gsmarena.com/motorola_razr_60_ultra-13805.php,pending
237,Razr Ultra 2025,https://www.gsmarena.com/motorola_razr_ultra_2025-13823.php,pending
238,S50 Neo,https://www.gsmarena.com/motorola_s50_neo-13152.php,pending
239,ThinkPhone,https://www.gsmarena.com/motorola_thinkphone-12059.php,pending
240,ThinkPhone 25,https://www.gsmarena.com/motorola_thinkphone_25-13373.php,pending
