ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
112,"Mi A3",https://www.gsmarena.com/xiaomi_mi_a3-9769.php,19.5:9,91.04,720x1560,6.09",N/A,SUCCESS,2025-12-15 20:03:10
113,"Mi CC9",https://www.gsmarena.com/xiaomi_mi_cc9-9749.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 20:04:11
114,"Mi CC9 Pro",https://www.gsmarena.com/xiaomi_mi_cc9_pro-9935.php,19.5:9,102.76,1080x2340,6.47",N/A,SUCCESS,2025-12-15 20:05:12
115,"Mi CC9e",https://www.gsmarena.com/xiaomi_mi_cc9e-9759.php,19.5:9,88.67,720x1560,6.01",N/A,SUCCESS,2025-12-15 20:06:14
116,"Mi Max",https://www.gsmarena.com/xiaomi_mi_max-8057.php,16:9,114.33,1080x1920,6.44",N/A,SUCCESS,2025-12-15 20:07:15
117,"Mi Max 2",https://www.gsmarena.com/xiaomi_mi_max_2-8582.php,16:9,114.33,1080x1920,6.44",N/A,SUCCESS,2025-12-15 20:08:16
118,"Mi Max 3",https://www.gsmarena.com/xiaomi_mi_max_3-8963.php,18:9,122.86,1080x2160,6.9",N/A,SUCCESS,2025-12-15 20:09:17
119,"Mi Max 4",https://www.gsmarena.com/xiaomi_mi_max_4-9551.php,N/A,N/A,1080x2310,7.2",N/A,FAILED,2025-12-15 20:10:18
120,"Mi Max 4 Pro",https://www.gsmarena.com/xiaomi_mi_max_4_pro-9552.php,N/A,N/A,1080x2310,7.2",N/A,FAILED,2025-12-15 20:11:19
121,"Mi Mix",https://www.gsmarena.com/xiaomi_mi_mix-8400.php,17:9,109.27,1080x2040,6.4",N/A,SUCCESS,2025-12-15 20:12:21
122,"Mi Mix 2",https://www.gsmarena.com/xiaomi_mi_mix_2-8529.php,18:9,92.59,1080x2160,5.99",N/A,SUCCESS,2025-12-15 20:13:26
123,"Mi Mix 2S",https://www.gsmarena.com/xiaomi_mi_mix_2s-9067.php,18:9,92.59,1080x2160,5.99",N/A,SUCCESS,2025-12-15 20:14:27
124,"Mi Mix 3",https://www.gsmarena.com/xiaomi_mi_mix_3-9378.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 20:15:28
125,"Mi Mix 3 5G",https://www.gsmarena.com/xiaomi_mi_mix_3_5g-9602.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 20:16:30
